Year,Total (M>4),Total (M>6),Total Annual Large Floods (M>4) ,Total Annual Extreme Floods (M>6)
1985,64,11,64,11
1986,105,26,41,15
1987,147,34,42,8
1988,235,59,88,25
1989,335,79,100,20
1990,432,105,97,26
1991,541,125,109,20
1992,638,152,97,27
1993,718,170,80,18
1994,823,195,105,25
1995,937,232,114,37
1996,1029,262,92,30
1997,1177,299,148,37
1998,1356,346,179,47
1999,1451,381,95,35
2000,1545,407,94,26
2001,1658,424,113,17
2002,1844,464,186,40
2003,2045,532,201,68
2004,2192,578,147,46
2005,2335,635,143,57
2006,2536,692,201,57
2007,2751,768,215,76
2008,2918,825,167,57
2009,3069,865,151,40
2010,3241,923,172,58
2011,3362,971,121,48
2012,3483,1012,121,41
